Date,Open,High,Low,Close,Adj Close,Volume
2011-01-03,57.560001,58.099998,57.529999,57.799999,49.662560,4760400
2011-01-04,57.860001,57.950001,57.270000,57.549999,49.447739,5405000
2011-01-05,57.459999,57.919998,57.360001,57.869999,49.722687,3820500
2011-01-06,57.959999,58.040001,57.680000,57.889999,49.739868,3722300
2011-01-07,57.910000,58.070000,57.419998,57.810001,49.671143,2884800
2011-01-10,57.560001,57.980000,57.439999,57.880001,49.731277,2453600
2011-01-11,58.160000,58.259998,57.910000,58.130001,49.946095,4246700
2011-01-12,58.500000,58.610001,58.299999,58.599998,50.349907,3889700
2011-01-13,58.580002,58.689999,58.419998,58.590000,50.341335,2202800
2011-01-14,58.520000,58.959999,58.430000,58.939999,50.642040,3694600
2011-01-18,58.919998,59.240002,58.840000,59.200001,50.865456,3572700
2011-01-19,59.200001,59.240002,58.480000,58.639999,50.384270,2400100
2011-01-20,58.439999,58.520000,57.919998,58.360001,50.143707,3226400
2011-01-21,58.720001,58.820000,58.259998,58.330002,50.117912,2999100
2011-01-24,58.310001,58.820000,58.250000,58.790001,50.513165,2092700
2011-01-25,58.570000,58.840000,58.340000,58.840000,50.556122,4933200
2011-01-26,58.930000,59.369999,58.880001,59.240002,50.899818,3356900
2011-01-27,59.259998,59.520000,59.150002,59.360001,51.002922,3621800
2011-01-28,59.439999,59.470001,58.130001,58.230000,50.031998,3771400
2011-01-31,58.380001,58.720001,58.200001,58.650002,50.392891,6535100
2011-02-01,59.020000,59.689999,58.970001,59.560001,51.174751,2776400
2011-02-02,59.380001,59.689999,59.380001,59.509998,51.131794,2345400
2011-02-03,59.500000,59.759998,59.130001,59.650002,51.252098,2016300
2011-02-04,59.720001,59.990002,59.540001,59.970001,51.527027,2090500
2011-02-07,60.150002,60.540001,60.080002,60.330002,51.836361,2795000
2011-02-08,60.419998,60.599998,60.200001,60.599998,52.068352,2510500
2011-02-09,60.480000,60.650002,60.230000,60.500000,51.982426,2750300
2011-02-10,60.130001,60.580002,60.009998,60.520000,51.999599,2946100
2011-02-11,60.400002,60.980000,60.290001,60.939999,52.360481,2347500
2011-02-14,60.910000,61.169998,60.880001,61.099998,52.497959,1640000
2011-02-15,60.889999,61.020000,60.689999,60.869999,52.300331,1446200
2011-02-16,61.139999,61.410000,61.040001,61.299999,52.669796,2563200
2011-02-17,61.070000,61.490002,61.060001,61.439999,52.790077,1416400
2011-02-18,61.500000,61.619999,61.310001,61.509998,52.850235,1503200
2011-02-22,60.900002,61.200001,60.080002,60.189999,51.716072,4833400
2011-02-23,60.209999,60.250000,59.259998,59.709999,51.303638,3536600
2011-02-24,59.660000,59.970001,59.130001,59.700001,51.295055,3244100
2011-02-25,60.000000,60.439999,59.959999,60.360001,51.862141,3345800
2011-02-28,60.680000,60.790001,60.299999,60.660000,52.119900,2726200
2011-03-01,60.919998,60.919998,59.590000,59.660000,51.260677,2664400
2011-03-02,59.490002,60.110001,59.490002,59.849998,51.423935,2270800
2011-03-03,60.349998,60.970001,60.340000,60.910000,52.334709,1811500
2011-03-04,60.840000,60.959999,60.130001,60.509998,51.991009,2916000
2011-03-07,60.720001,60.830002,55.990002,59.900002,51.466881,2357300
2011-03-08,59.910000,60.490002,59.590000,60.250000,51.767612,4534100
2011-03-09,60.150002,60.290001,59.779999,60.110001,51.647339,2112800
2011-03-10,59.459999,59.509998,58.930000,59.009998,50.702190,2514400
2011-03-11,58.790001,59.619999,58.750000,59.419998,51.054462,3598700
2011-03-14,59.139999,59.340000,58.650002,59.119999,50.796711,2733100
2011-03-15,57.520000,58.779999,57.410000,58.470001,50.238228,4439800
2011-03-16,58.310001,58.480000,56.930000,57.360001,49.284489,4867300
2011-03-17,58.200001,58.330002,57.770000,57.970001,49.808605,3219300
